timestamp,latency,faithfulness,answer_relevance,context_precision
2026-03-26 12:20:28,4.63,0.9,1.0,0.8
2026-03-26 12:20:45,3.25,1.0,1.0,1.0
2026-03-26 12:21:10,3.94,1.0,0.9,0.9
2026-03-26 12:21:42,5.98,1.0,1.0,1.0
2026-03-26 12:22:04,4.11,1.0,1.0,0.9
2026-03-26 12:22:30,4.12,0.9,1.0,0.9
2026-03-26 14:45:14,4.53,1.0,1.0,1.0
2026-03-26 14:49:12,6.75,1.0,1.0,0.8
2026-03-26 14:49:43,4.34,1.0,1.0,0.9
2026-03-26 14:50:10,2.51,1.0,1.0,0.8
2026-03-26 14:51:05,3.12,0.95,1.0,0.85
2026-03-26 14:52:15,2.88,1.0,0.92,0.9
2026-03-26 14:53:22,4.45,1.0,1.0,0.88
2026-03-26 14:54:30,5.12,0.9,1.0,0.95
2026-03-26 14:55:10,3.75,1.0,1.0,1.0
2026-03-26 14:56:05,2.95,0.88,0.95,0.8
2026-03-26 14:57:40,4.22,1.0,1.0,0.92
2026-03-26 14:58:12,3.66,1.0,1.0,1.0
2026-03-26 14:59:55,6.15,0.92,0.98,0.85
2026-03-26 15:00:15,3.44,1.0,1.0,0.9
2026-03-26 15:01:22,2.75,1.0,1.0,0.95
2026-03-26 15:02:45,4.88,0.95,1.0,1.0
2026-03-26 15:03:50,3.12,1.0,0.9,0.88
2026-03-26 15:04:10,5.55,1.0,1.0,0.82
2026-03-26 15:05:33,4.15,0.98,1.0,0.9
2026-03-26 15:06:42,3.92,1.0,1.0,1.0
2026-03-26 15:07:12,2.65,1.0,1.0,0.92
2026-03-26 15:08:55,4.33,0.9,0.95,0.85
2026-03-26 15:09:20,3.77,1.0,1.0,0.98
2026-03-26 15:10:44,5.05,1.0,1.0,0.9
2026-03-26 15:11:30,3.22,0.95,0.92,0.88
2026-03-26 15:12:15,4.66,1.0,1.0,1.0
2026-03-26 15:13:58,3.88,1.0,1.0,0.95
2026-03-26 15:14:22,2.15,0.92,1.0,0.8
2026-03-26 15:15:45,4.44,1.0,0.98,0.9
2026-03-26 15:16:30,5.77,1.0,1.0,1.0
